UNITID_P,INSTNM,BRANCH,Address,City,State,Zip,sector_cd,sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
100654001,Alabama A & M University,Main Campus,4107 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 4-year or above",5706,0,0,4,0,5,13,77,5,3,107
100663001,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",16246,0,0,1,0,5,0,11,8,0,25
100690001,Amridge University,Main Campus,1200 TAYLOR RD,MONTGOMERY,AL,361173553,2,"Private nonprofit, 4-year or above",720,0,0,0,0,0,0,0,0,0,0
100706001,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",7264,0,0,0,0,0,1,5,2,2,10
100724001,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,36104,1,"Public, 4-year or above",,0,0,0,0,11,0,13,7,1,32
100751001,The University of Alabama,Main Campus,946 University Blvd,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",25544,0,0,6,0,1,4,111,4,1,127
100760001,Central Alabama Community College,Alexander City Campus,1675 CHEROKEE RD,ALEXANDER CITY,AL,350110699,4,"Public, 2-year",2177,0,0,0,0,0,0,1,0,0,1
100760002,Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044,4,"Public, 2-year",2177,0,0,0,0,0,0,0,0,0,0
100812001,Athens State University,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,35611,1,"Public, 4-year or above",3074,0,0,0,0,0,0,0,0,0,0
100830001,Auburn University-Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 4-year or above",,0,0,0,0,1,0,1,0,0,2
100858001,Auburn University Main Campus,Main Campus,107 Samford Hall,AUBURN UNIVERSITY,AL,36849,1,"Public, 4-year or above",24137,0,0,0,0,3,7,57,2,0,69
100937001,Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",1389,0,0,6,0,1,4,0,0,0,11
101028001,Chattahoochee Valley Community College,Main Campus,2602 COLLEGE DR,PHENIX CITY,AL,36869,4,"Public, 2-year",1934,0,0,0,0,0,0,0,0,0,0
101073001,Concordia College-Selma,Main Campus,1804 GREEN ST,SELMA,AL,36701,2,"Private nonprofit, 4-year or above",555,0,0,0,0,3,2,0,0,0,5
101116001,South University-Montgomery,Main Campus,5355 Vaughn Road,MONTGOMERY,AL,361161120,3,"Private for-profit, 4-year or above",534,0,0,0,0,0,0,0,0,0,0
