ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime,
162928001,Johns Hopkins University,JHU HOMEWOOD CAMPUS -  Baltimore,MD,19682,0,0,0,0,0,0,5,0,0,5,
162928002,Johns Hopkins University,Johns Hopkins Medical Institutions,MD,19682,0,0,1,0,0,1,0,0,0,2,
222062004,Walters State Community College, Claiborne County Extension,TN,5825,0,0,0,0,0,0,0,0,0,0,
190673001,CUNY Queensborough Community College,Queensborough Community College,NY,0,0,0,1,0,0,0,0,0,0,1,
133553001,Embry Riddle Aeronautical University-Daytona Beach,Daytona Beach - FL Campus,FL,120,0,0,1,0,0,1,25,4,0,31,
222062002,Walters State Community College, Greene County Campus,TN,5825,0,0,0,0,0,0,0,0,0,0,
106245001,University of Arkansas at Little Rock,University of Arkansas -  Little Rock,AR,12135,0,0,0,0,1,0,17,6,0,24,
126119001,Yuba College,Yuba College - Marysville,CA,9903,0,0,0,0,0,1,2,1,1,5,
110608001,California State University-Northridge,California State University -  Northridge,CA,35446,0,0,12,2,5,6,30,12,0,67,
110510001,California State University-San Bernardino,California State University -  San Bernardino,CA,17066,0,0,2,2,2,2,28,12,0,48,
228316001,Southwest Texas Junior College,SWTJC Main Campus,TX,0,0,0,0,0,0,0,2,0,0,2,
102553001,University of Alaska Anchorage,Anchorage Campus,AK,16463,0,0,1,0,1,2,3,4,1,12,
102553003,University of Alaska Anchorage,Kenai River Campus,AK,16463,0,0,0,0,0,0,0,0,0,0,
102614001,University of Alaska Fairbanks,University of Alaska Fairbanks,AK,8618,0,0,2,0,0,0,24,0,0,26,
102614002,University of Alaska Fairbanks,Kuskokwim rural campus,AK,8618,0,0,1,0,0,0,2,0,0,3,
100654001,Alabama A & M University,Main Campus,AL,5706,0,0,0,0,11,2,60,0,1,74,
100663001,University of Alabama at Birmingham,Main Campus,AL,16246,0,0,0,0,3,3,2,9,1,18,
100706001,University of Alabama in Huntsville,Main Campus,AL,7264,0,0,5,1,0,0,12,0,0,18,
100724001,Alabama State University,Main Campus,AL,0,0,0,2,0,8,3,13,2,5,33,
100751001,The University of Alabama,Main Campus,AL,25544,0,1,2,0,2,0,151,3,2,161,
100830001,Auburn University-Montgomery,Auburn University Montgomery,AL,0,0,0,1,0,1,0,15,6,0,23,
100858001,Auburn University Main Campus,Main Campus,AL,24137,0,0,3,0,0,1,42,6,0,52,
101240001,Gadsden State Community College,Gadsden State Community College,AL,5514,0,0,0,0,1,0,0,0,0,1,
101295001,George C Wallace State Community College-Hanceville,Main Campus,AL,5247,0,0,0,0,0,0,3,0,0,3,
101480001,Jacksonville State University,Main Campus,AL,9077,0,0,0,0,1,2,34,2,1,40,
101505001,Jefferson State Community College,Jefferson,AL,7944,0,0,0,0,0,0,1,0,0,1,
101879001,University of North Alabama,Main Campus,AL,4663,0,0,3,0,1,0,31,0,2,37,
102094001,University of South Alabama,Main Campus,AL,13779,0,0,3,0,0,7,36,7,0,53,
102368001,Troy University,Troy Campus,AL,0,0,0,1,0,2,0,29,0,0,32,
102368004,Troy University,Dothan Campus,AL,0,0,0,0,0,0,0,0,0,0,0,
106397001,University of Arkansas Main Campus,Main Campus,AR,18648,0,0,4,0,0,3,61,2,0,70,
106458001,Arkansas State University-Main Campus,Jonesboro,AR,11130,0,0,1,0,0,2,47,3,0,53,
106467001,Arkansas Tech University,Main Campus,AR,7476,0,0,1,0,0,1,13,0,0,15,
106704001,University of Central Arkansas,Main Campus,AR,12619,0,0,1,0,0,4,39,6,1,51,
107044001,Harding University,Main Campus,AR,6139,0,0,0,0,0,0,31,1,0,32,
107664001,Pulaski Technical College,Main Campus,AR,8768,0,0,0,0,2,1,3,0,0,6,
108092001,University of Arkansas-Fort Smith,Main Campus,AR,0,0,0,2,0,0,1,9,0,0,12,
201104003,Ashland University,Elyria Program Center,Ashland University,OH,6493,0,0,0,0,0,0,0,1,0,
104151001,Arizona State University at the Tempe Campus,Tempe Campus,AZ,0,0,0,6,0,5,16,119,67,4,217,
104160001,Arizona Western College,Main Campus,AZ,6953,0,0,0,0,0,2,14,0,0,16,
104179001,University of Arizona,Main Campus,AZ,37217,1,0,8,0,0,1,43,0,0,53,
104346001,Central Arizona College,Main Campus-Signal Peak,AZ,4951,0,0,0,0,0,1,18,1,0,20,
104346003,Central Arizona College,SUPERSTITION MOUNTAIN CAMPUS,AZ,4951,0,0,0,0,0,1,0,0,0,1,
104708001,Glendale Community College,Main Campus,AZ,18444,0,0,0,0,0,2,0,12,0,14,
104717001,Grand Canyon University,Grand Canyon University,AZ,13415,0,0,0,0,0,1,10,1,0,12,
105145001,Gateway Community College,Main Campus,AZ,6874,0,0,0,0,0,0,2,4,0,6,
105154001,Mesa Community College,Mesa Community College,AZ,0,0,0,0,0,0,0,1,8,0,9,
105330001,Northern Arizona University,Main Campus,AZ,21347,0,0,8,0,1,9,58,8,2,86,
105428001,Phoenix College,Main Campus,AZ,0,0,0,0,0,0,1,18,8,0,27,
105525001,Pima Community College,West Campus,AZ,32982,0,0,0,0,1,0,2,3,0,6,
105525005,Pima Community College,East Campus,AZ,32982,0,0,0,0,0,0,1,2,0,3,
105747001,Scottsdale Community College,Main Campus,AZ,0,0,0,0,0,1,0,2,0,0,3,
364016001,Paradise Valley Community College,Main Campus,AZ,0,0,0,0,0,0,0,2,4,0,6,
364025001,Chandler/Gilbert Community College,Pecos Campus,AZ,10277,0,0,0,0,0,0,4,0,0,4,
364025002,Chandler/Gilbert Community College,CGCC/Williams Campus,AZ,10277,0,0,0,0,0,0,0,0,0,0,
108232001,Academy of Art University,Main Campus,CA,11334,0,0,4,0,1,4,22,0,0,31,
108667001,College of Alameda,Main Campus,CA,0,0,0,1,0,1,0,1,1,0,4,
109208001,American River College,Main Campus,CA,33821,0,0,2,0,1,0,3,12,0,18,
109350001,Antelope Valley College,Main Campus,CA,13312,0,0,1,0,1,3,10,1,1,17,
109785001,Azusa Pacific University,Azusa (main campus),CA,8084,0,0,1,0,0,2,38,6,0,47,
109785008,Azusa Pacific University,Murrieta Regional Center,CA,8084,0,0,0,0,0,0,1,0,0,1,
109785009,Azusa Pacific University,Ventura Regional Center,CA,8084,0,0,0,0,0,0,0,0,0,0,
109819001,Bakersfield College,Main Campus,CA,17405,0,0,0,0,0,1,2,11,0,14,
110097001,Biola University,Main Campus,CA,3968,0,0,0,0,0,0,4,1,0,5,
110246001,Butte College,Main Campus,CA,0,0,0,0,0,0,0,8,1,1,10,
110334001,Cabrillo College,Aptos Campus,CA,0,0,0,0,0,0,4,13,1,0,18,
110361001,California Baptist University,Main Campus,CA,0,0,0,0,0,2,0,5,5,0,12,
110422001,California Polytechnic State University-San Luis Obispo,Main Campus,CA,19777,0,0,5,0,1,0,7,6,5,24,
110486001,California State University-Bakersfield,Main Campus,CA,7700,0,0,0,0,1,2,27,9,0,39,
110495001,California State University-Stanislaus,CSU Stanislaus - Turlock,CA,8836,0,0,2,0,0,3,2,3,0,10,
110529001,California State Polytechnic University-Pomona,Main Campus,CA,21477,0,0,3,0,1,3,24,25,1,57,
110538001,California State University-Chico,Main Campus,CA,17034,0,0,2,0,2,2,16,4,1,27,
110547001,California State University-Dominguez Hills,California State University Dominguez Hills,CA,12082,0,0,2,0,3,5,18,22,0,50,
