ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
234933001,Clark College,Main Campus,WA,10911,0,0,2,0,0,0,0,10,0,12
228316001,Southwest Texas Junior College,SWTJC Main Campus,TX,5572,0,0,0,0,0,0,4,0,0,4
221740001,The University of Tennessee,Chattanooga,TN,11670,0,0,1,0,1,0,15,3,0,20
222062002,Walters State Community College,Walters State Greeneville,TN,6005,0,0,0,0,0,0,1,0,0,1
222062004,Walters State Community College,Walters State,TN,6005,0,0,0,0,0,0,1,0,0,1
190673001,CUNY Queensborough Community College,Queensborough Community College,NY,16182,0,0,2,0,0,3,0,0,0,5
196176001,State University of New York,College at New Paltz,NY,7692,0,0,5,0,0,1,2,0,0,8
196264001,SUNY Empire State College,Main Campus,NY,11952,0,0,0,0,0,0,1,0,0,1
133553001,Embry Riddle Aeronautical University-Daytona Beach,Daytona Beach - FL Campus,FL,5538,0,0,0,0,0,0,0,2,0,2
110510001,California State University-San Bernardino,California State University -  San Bernardino,CA,18952,0,0,5,0,1,0,10,9,0,25
110592001,California State University-Los Angeles,California State University - LA,CA,24488,0,0,7,0,2,1,13,8,0,31
110608001,California State University-Northridge,California State University -  Northridge,CA,40131,0,0,6,1,3,1,14,7,0,32
126119001,Yuba College,Yuba College - Marysville,CA,6640,0,0,0,0,0,0,6,0,0,6
409698001,California State University-Monterey Bay,California State University - Monterey Bay,CA,6631,0,0,10,1,2,2,10,2,0,27
106245001,University of Arkansas at Little Rock,University of Arkansas -  Little Rock,AR,11645,0,0,0,0,2,2,4,5,0,13
162928002,Johns Hopkins University,Johns Hopkins Medical Institutions,MD,21372,0,0,1,0,4,3,2,1,0,11
162928001,Johns Hopkins University,JHU HOMEWOOD CAMPUS,MD,21372,0,0,3,0,0,2,6,2,0,13
150987001,Ivy Tech Community College,Ivy Tech Central Indiana Main Campus,IN,91179,0,0,2,0,0,0,0,0,0,2
150987007,Ivy Tech Community College,Muncie,IN,91179,0,0,0,0,0,0,0,1,0,1
232557001,Liberty University,Main Campus,VA,81459,0,0,8,0,0,1,5,4,2,20
227182002,Lone Star College System,Lone Star College - North Harris,TX,69395,0,0,0,0,1,0,0,7,0,8
227182004,Lone Star College System,Lone Star College - Kingwood,TX,69395,0,0,0,0,0,0,1,4,0,5
227182005,Lone Star College System,Lone Star College - Montgomery,TX,69395,0,0,1,0,0,0,0,0,0,1
227182006,Lone Star College System,Lone Star College - Cy-Fair,TX,69395,0,0,2,0,0,0,0,1,0,3
227182012,Lone Star College System,Lone Star College - Greenspoint Center,TX,69395,0,0,0,0,0,0,0,1,0,1
227182014,Lone Star College System,Lone Star College - Victory Center,TX,69395,0,0,0,0,0,1,0,0,0,1
227182015,Lone Star College System,Lone Star College - Health Professions Buildings,TX,69395,0,0,0,0,0,0,1,0,0,1
135717001,Miami Dade College,Main-Wolfson,FL,66046,0,0,0,0,1,0,0,0,0,1
135717002,Miami Dade College,North Campus,FL,66046,0,0,0,0,3,1,1,6,0,11
135717003,Miami Dade College,Kendall Campus,FL,66046,0,0,0,0,2,2,3,2,0,9
135717006,Miami Dade College,Homestead Campus,FL,66046,0,0,0,0,1,0,0,0,0,1
104717001,Grand Canyon University,Grand Canyon University,AZ,62304,0,0,9,0,0,0,17,2,0,28
228723001,Texas A & M University-College Station,Texas A&M University,TX,61642,0,0,8,0,0,8,6,6,1,29
132903001,University of Central Florida,Main Campus,FL,60767,0,0,19,0,4,3,23,10,0,59
132903004,University of Central Florida,UCF Ocala,FL,60767,0,0,0,0,0,0,1,0,0,1
132903008,University of Central Florida,UCF Daytona Beach,FL,60767,0,0,2,0,0,1,0,1,0,4
132903009,University of Central Florida,Rosen College of Hospitality Management,FL,60767,0,0,2,0,1,0,1,0,0,4
132903010,University of Central Florida,UCF Valencia West,FL,60767,0,0,0,0,0,1,1,0,0,2
132903012,University of Central Florida,UCF Center for Emerging Media,FL,60767,0,0,0,0,0,0,0,1,0,1
132903015,University of Central Florida,UCF Sanford/Lake Mary,FL,60767,0,0,0,0,0,0,3,0,0,3
132903017,University of Central Florida,UCF Altamonte Springs,FL,60767,0,0,0,0,0,1,0,0,0,1
204796001,Ohio State University-Main Campus,Main Campus,OH,58322,0,0,32,1,8,6,4,11,0,62
225423001,Houston Community College,Central College - Midtown Campus,TX,58276,0,0,3,0,1,0,6,1,0,11
225423002,Houston Community College,HCC Administration Complex,TX,58276,0,0,0,0,1,0,0,0,0,1
225423005,Houston Community College,Northeast - Northeast,TX,58276,0,0,0,0,0,0,2,0,0,2
225423007,Houston Community College,Northeast - Pinemont,TX,58276,0,0,0,0,0,0,0,1,0,1
225423009,Houston Community College,Northwest - Spring Branch,TX,58276,0,0,0,0,1,0,0,2,0,3
225423010,Houston Community College,Northwest - Katy,TX,58276,0,0,0,0,0,0,0,1,0,1
225423019,Houston Community College,Southwest - West Loop,TX,58276,0,0,0,0,1,0,1,1,0,3
225423030,Houston Community College,Central - South Campus,TX,58276,0,0,0,0,0,0,0,1,0,1
225423033,Houston Community College,Southeast - Felix Fraga,TX,58276,0,0,0,0,0,0,0,1,0,1
232946001,Northern Virginia Community College,Annandale Campus,VA,51487,0,0,1,0,1,0,1,0,0,3
232946002,Northern Virginia Community College,Alexandria Campus,VA,51487,0,0,2,0,0,0,2,0,0,4
232946003,Northern Virginia Community College,Loudoun Campus,VA,51487,0,0,1,0,0,0,2,0,0,3
232946005,Northern Virginia Community College,Woodbridge Campus,VA,51487,0,0,0,0,0,0,3,0,0,3
232946009,Northern Virginia Community College,Arlington Center,VA,51487,0,0,0,1,0,0,0,0,0,1
228778001,The University of Texas at Austin,The University of Texas at Austin,TX,51313,0,0,20,0,0,1,34,6,2,63
154022001,Ashford University,Iowa Campus,IA,51237,0,0,0,1,0,0,1,0,0,2
174066001,University of Minnesota-Twin Cities,Main Campus,MN,51147,0,0,12,0,1,1,26,13,1,54
174066003,University of Minnesota-Twin Cities,Saint Paul,MN,51147,0,0,3,0,0,0,6,8,0,17
228547002,Tarrant County College District,South Campus,TX,50595,0,0,2,0,1,0,0,2,0,5
228547003,Tarrant County College District,Northeast Campus,TX,50595,0,0,0,0,0,0,1,0,0,1
228547004,Tarrant County College District,Northwest Campus,TX,50595,0,0,0,0,0,0,1,0,0,1
228547005,Tarrant County College District,Southeast Campus,TX,50595,0,0,1,0,0,0,0,0,0,1
228547007,Tarrant County College District,Trinity River Campus,TX,50595,0,0,1,0,0,0,2,0,0,3
104151001,Arizona State University-Tempe,Tempe Campus,AZ,50320,0,0,16,0,3,0,34,11,2,66
104151002,Arizona State University-Tempe,Downtown Phoenix Campus,AZ,50320,0,0,0,0,2,2,2,0,0,6
104151003,Arizona State University-Tempe,Polytechnic Campus,AZ,50320,0,0,3,0,1,1,3,4,0,12
104151004,Arizona State University-Tempe,West Campus,AZ,50320,0,0,0,0,2,0,3,0,0,5
171100001,Michigan State University,Main Campus,MI,50081,0,0,21,0,12,10,124,18,6,191
133951001,Florida International University,Modesto A. Maidique Campus,FL,49610,0,0,12,0,2,9,27,9,0,59
