ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
201104003,Ashland University,Elyria Program Center,OH,1299,0,0.3,0,0,0,0.3,0.5,0.2,1.2,2.5
196264001,SUNY Empire State College,Main Campus -Sartoga New York,NY,3944,0,0,0,0,0,0.8,0,0,0.8,1.6
150987007,Ivy Tech Community College,Muncie,IN,96743,0,0,0,0,0,0,0,0.333333333,0,0.333333333
227182012,Lone Star College System,Lone Star College - Greenspoint Center,TX,69395,0,0,0,0,0,0,0,1,0,1
227182014,Lone Star College System,Lone Star College - Victory Center,TX,69395,0,0,0,0,0,1,0,0,0,1
227182015,Lone Star College System,Lone Star College - Health Professions Buildings,TX,69395,0,0,0,0,0,0,1,0,0,1
104151001,Arizona State University at the Tempe Campus,Tempe Campus,AZ,64320,0,0,8.9,0.2,5.6,14.1,100.4,37.1,3.1,169.4
104151002,Arizona State University,Downtown Phoenix Campus,AZ,64320,0,0,1,0.142857143,1.142857143,0.714285714,3,0.142857143,0.142857143,6.285714286
104151003,Arizona State University,Polytechnic Campus,AZ,64320,0,0,1.285714286,0,0.285714286,1.428571429,7.857142857,1.142857143,0.428571429,12.42857143
104151004,Arizona State University,West Campus,AZ,64320,0,0,0,0,0.428571429,1.285714286,6,1.857142857,0.142857143,9.714285714
232557001,Liberty University,Main Campus,VA,61972,0.1,0,3.1,0,0.4,0.7,6.8,1,2.6,14.7
135717001,Miami Dade College,Main-Wolfson,FL,60308,0,0,0.1,0,0.4,0.1,5.2,0.3,0,6.1
135717002,Miami Dade College,North Campus,FL,60308,0.1,0,0,0,0.8,0.2,2.3,7.7,0,11.1
135717003,Miami Dade College,Kendall Campus,FL,60308,0,0,0.1,0,2,0.9,1,9.5,0.2,13.7
135717006,Miami Dade College,Homestead Campus,FL,60308,0,0,0.1,0,0.6,0.3,1.9,0.5,0,3.4
132903017,University of Central Florida,UCF Altamonte Springs,FL,59606,0,0,0,0,0.5,0.25,0.5,0,0,1.25
225423033,Houston Community College,SOUTHEAST - Felix Fraga Campus,TX,59436,0,0,0,0,0,0,0,0.25,0,0.25
132903004,University of Central Florida,UCF Ocala Regional Campus,FL,58906,0,0,0,0,0,0.2,0.4,0.2,0,0.8
132903008,University of Central Florida,UCF Daytona Regional Campus,FL,58906,0,0,0.6,0,0.8,0.8,0.8,4.8,0,7.8
132903010,University of Central Florida,UCF Valencia West-Regional Campus,FL,58906,0,0,0,0,0.4,0.8,0.4,1.4,0.2,3.2
132903012,University of Central Florida,Downtown Campus-FIEA,FL,58906,0,0,0,0,0,0,0,0.4,0,0.4
132903015,University of Central Florida,UCF Sanford/Lake Mary Campus,FL,58906,0,0,0,0,0.4,0.2,2,1.4,0,4
225423010,Houston Community College System,NORTHWEST - WESTGATE,TX,58832,0,0,0,0,0,0.166666667,0.333333333,0.666666667,0,1.166666667
225423019,Houston Community College System,SOUTHWEST - WESTLOOP,TX,58832,0,0,0,0,0.166666667,0,1.166666667,0.5,0,1.833333333
225423030,Houston Community College System,CENTRAL - Willie Gay Hall,TX,58832,0,0,0,0,0,0,0.333333333,0.166666667,0,0.5
132903009,University of Central Florida,Rosen College of Hospitality Management,FL,57988,0,0,0.5,0,0.166666667,0,0.833333333,0,0,1.5
227182002,North Harris Montgomery Community College District,North Harris College,TX,57026,0,0,0,0,0.1,0.3,0.1,1.8,0,2.3
227182004,North Harris Montgomery Community College District,Kingwood College,TX,57026,0,0,0,0,0,0,0.3,0.5,0,0.8
227182005,North Harris Montgomery Community College District,Montgomery College,TX,57026,0,0,0.1,0,0,0,0.1,0.3,0,0.5
227182006,North Harris Montgomery Community College District,Cy-Fair College,TX,57026,0,0,0.3,0,0.2,0.5,0.1,0.5,0,1.6
204796001,Ohio State University-Main Campus,Main Campus,OH,55154,0.1,0,31.7,0.2,7.6,2.6,141.7,14.7,7.4,206
132903001,University of Central Florida,Main Campus,FL,54324,0,0,6.4,0,2.6,7.4,30.5,18.6,0.1,65.6
225423001,Houston Community College System,Central College,TX,53171,0,0,0.3,0,0.7,0.8,4.1,1.2,0.2,7.3
225423005,Houston Community College System,NORTHEAST- CODWELL,TX,53171,0,0,0,0,0,0,0.4,0.7,0,1.1
225423007,Houston Community College System,NORTHEAST - PINEMONT,TX,53171,0,0,0,0,0,0.1,0.5,0.4,0,1
225423009,Houston Community College System,NORTHWEST - TOWN & COUNTRY,TX,53171,0,0,0.2,0,0.3,0.3,1.1,2.1,0,4
150987001,Ivy Tech Community College-Central Indiana,Main Campus,IN,52581,0,0,0.2,0,0.1,0.5,0.3,0.5,0,1.6
174066003,University of Minnesota-Twin Cities,Saint Paul,MN,51744,0,0,1.166666667,0,0.166666667,0.166666667,6.833333333,4.833333333,0,13.16666667
232946009,Northern Virginia Community College,Arlington Center,VA,51718,0,0,0,0.333333333,0,0,0,0,0,0.333333333
174066001,University of Minnesota-Twin Cities,Main Campus,MN,51425,0,0,11.7,0,3.8,2.4,103.2,6.2,1.4,128.7
225423002,Houston Community College System,CENTRAL CAMPUS,TX,51049,0,0,0,0.125,0.375,0.125,1.625,0.875,0.125,3.25
228778001,The University of Texas at Austin,Main Campus,TX,50935,0,0,8.1,0,2.3,3.4,36.8,6.5,2.4,59.5
134130001,University of Florida,University of Florida,FL,50601,0,0,6.3,0,1.6,5.1,29.7,6.9,0.2,49.8
228723001,Texas A & M University,Texas A&M University,TX,50369,0,0,5.7,0,1.5,2.8,32,6.3,0.6,48.9
134130002,University of Florida,University of Florida Jacksonville Regional Campus,FL,49710,0,0,0.5,0,0.5,0.25,0.25,1.75,0,3.25
133951002,Florida International University,Biscayne Bay Campus,FL,49610,0,0,0,0,0,0,6,0,0,6
133951004,Florida International University,FIU Downtown,FL,49610,0,0,0,0,0,0,2,0,0,2
133951007,Florida International University,Wolfsonian Museum,FL,49610,0,0,0,0,0,1,0,0,0,1
193900019,New York University,NYU Polytechnic School of Engineering,NY,49274,0,0,5,0,0,1,0,0,0,6
228547007,Tarrant County College District,Trinity River,TX,49222,0,0,0.5,0,0,0.166666667,0.833333333,0.166666667,0.166666667,1.833333333
171100001,Michigan State University,Main Campus,MI,47471,0,0.1,16.7,0,7,9.6,115.7,16.6,3.3,169
232946001,Northern Virginia Community College,Main Campus,VA,46727,0,0,0.7,0,0.5,0.4,0.2,0.3,0.1,2.2
232946002,Northern Virginia Community College,Alexandria Campus,VA,46727,0,0,0.7,0,0.6,0.6,0.7,0.1,0.2,2.9
232946003,Northern Virginia Community College,Loudoun Campus,VA,46727,0,0,0.6,0,0.1,0,1.2,0,0,1.9
232946005,Northern Virginia Community College,Woodbridge Campus,VA,46727,0,0,0.1,0,0,0.3,0.6,0.1,0,1.1
214777001,Pennsylvania State University-Main Campus,University Park Campus,PA,44965,0,0,16.5,0,2.1,7.6,60,2.8,8.2,97.2
228547002,Tarrant County College District,South Campus,TX,44877,0,0,0.4,0,0.2,0,1.2,0.9,0,2.7
228547003,Tarrant County College District,Northeast Campus,TX,44877,0,0,0.1,0.1,0,0.1,1.2,0.6,0.3,2.4
228547004,Tarrant County College District,Northwest Campus,TX,44877,0,0,0.3,0,0,0.1,0.3,0.1,0.1,0.9
228547005,Tarrant County College District,Southeast Campus,TX,44877,0,0,0.1,0,0.3,0,0.6,1,0,2
193900001,New York University,NYU Main Campus,NY,43704,0.1,0,2.3,0,0.2,0,44.5,0,0,47.1
193900002,New York University,NYU Medical Center/School of Medicine,NY,43704,0,0,0.1,0,0.1,0,3.5,0,0,3.7
145637001,University of Illinois at Urbana-Champaign,Main Campus,IL,43698,0,0,8,0,6.8,7,57.8,5.1,1.3,86
132709009,Broward College,Miramar Town Center,FL,43127,0,0,0,0,0.25,0,0,0,0,0.25
154022001,Ashford University,Main Campus,IA,42891,0,0,1.5,0.1,0,0.7,2.5,0,0,4.8
222992023,Austin Community College District,Pflugerville Cente,TX,42748,0,0,0,0,0,0.75,0.5,0.25,0.25,1.75
222992021,Austin Community College District,Lockhart Center,TX,42748,0,0,0.25,0,0.25,1,0.25,0,0,1.75
222992020,Austin Community College District,Leander Center,TX,42748,0,0,0,0.25,0.25,0,0.5,0,0.5,1.5
222992013,Austin Community College District,South Austin Campus,TX,42557,0,0,0,0,0,0,0.333333333,0,0,0.333333333
137351001,University of South Florida,USF Tampa Campus,FL,42533,0.1,0,4.8,0,2.2,5.4,80.9,21.6,1.3,116.3
236948001,University of Washington-Seattle Campus,Main Campus,WA,42320,0.1,0,3.3,0,3.3,4,63.4,17.1,2,93.2
133951001,Florida International University,University Park Campus,FL,42317,0.1,0,3.3,0.1,3.3,5.1,68.7,29.2,0.9,110.7
170976001,University of Michigan-Ann Arbor,Main Campus,MI,42123,0,0,20.8,0,4.7,12.2,34,10.3,5.6,87.6
151351001,Indiana University-Bloomington,Indiana University - Bloomington Campus,IN,42023,0,0,14.5,0.1,2.4,6.1,52.4,9.7,0.9,86.1
240444001,University of Wisconsin-Madison,Main Campus,WI,41963,0,0.1,14.1,0.5,2.7,4.4,68.5,10.6,1.8,102.7
222992002,Austin Community College District,Cypress Creek,TX,41591,0,0,0,0,0,0.1,0.3,0,0,0.4
222992007,Austin Community College District,Riverside Campus,TX,41591,0,0,0,0,0.1,0.1,0.8,0.4,0.1,1.5
243780001,Purdue University-Main Campus,Main Campus,IN,40594,0.1,0,5.6,0,1.8,2.9,31.9,3.8,1.1,47.2
134097001,Florida State University,Main Campus,FL,40447,0,0.1,8,0.3,8.1,7.7,63.2,14.3,3.8,105.5
243780006,Purdue University-Main Campus,Vincennes Campus,IN,40197,0,0,3,0,0.25,0.25,8,0,0,11.5
243780005,Purdue University-Main Campus,South Bend Campus,IN,40197,0,0,0.25,0,0,0,2.5,0,0,2.75
186380001,Rutgers University-New Brunswick,Main Campus,NJ,39353,0,0,14.6,0,3.5,5.7,86.2,7.6,3,120.6
104179001,University of Arizona,Main Campus,AZ,38988,0.2,0,6,0,0.6,3.2,41,9.6,0.9,61.5
225511001,University of Houston,Main Campus,TX,38982,0,0,6.2,0.3,7.5,4.6,37.4,21.8,0.9,78.7
110662001,University of California-Los Angeles,UCLA,CA,38921,0,0,17.1,0.1,3.3,7.7,121.4,15.8,0.5,165.9
138187002,Valencia Community College,West Campus,FL,38560,0,0,0,0,0.5,0.5,0.2,0.6,0,1.8
138187003,Valencia Community College,East Campus,FL,38560,0,0,0.1,0,0.1,0,0,2.2,0,2.4
182005001,College of Southern Nevada,Main Campus,NV,38383,0,0,0.2,0,0.3,0.9,8.2,9.2,0.4,19.2
123961001,University of Southern California,University Park Campus,CA,38179,0,0,9.2,0,7.9,4.5,44,7.9,1.3,74.8
123961002,University of Southern California,Health Sciences Campus,CA,38179,0,0,0.4,0,0.2,0.1,2.6,2.3,0,5.6
132709001,Broward Community College,Central Campus,FL,37888,0,0,0.1,0,0.7,0.6,13.7,6.4,0,21.5
132709002,Broward Community College,North Campus,FL,37888,0,0,0,0,0.2,0.5,8.1,1.9,0,10.7
132709003,Broward Community College,South Campus,FL,37888,0,0,0.1,0,1.6,1,11.7,3.7,0,18.1
132709004,Broward Community College,Willis Holcombe Center,FL,37888,0,0,0,0,0.2,0.2,1,0.1,0,1.5
110565001,California State University-Fullerton,Main Campus,CA,37052,0,0,1.8,0,1.1,3.9,19.4,16.9,0.1,43.2
163286001,University of Maryland-College Park,Main Campus,MD,36951,0,0,15.3,0,7.2,7.8,95.6,34.9,3,163.8
227216001,University of North Texas,Main Campus,TX,36672,0,0,3.5,0,0.5,2.7,27.1,4.3,0.6,38.7
110608001,California State University-Northridge,California State University - Northridge,CA,36453,0,0,4.9,0.3,4.3,4.6,36,14,0.8,64.9
216339001,Temple University,Main Campus,PA,36181,0,0,4.8,0,6.9,3.9,45.7,0.6,0.9,62.8
216339002,Temple University,Ambler Campus,PA,36181,0,0,0,0,0,0,0.7,0,0,0.7
216339003,Temple University,Health Science Campus,PA,36181,0,0,1,0,0.1,1.9,10.7,0.1,0,13.8
110583001,California State University-Long Beach,Main Campus,CA,36101,0,0,2.6,0.1,1,1.7,18.7,27.9,0.3,52.3
113856001,East Los Angeles College,East Los Angeles College,CA,35945,0,0,0.8,0,0.9,0.6,8.6,17.4,0.1,28.4
182005002,College of Southern Nevada,Cheyenne Campus,NV,35879,0,0,0.5,0,1.25,0,2.5,1.5,0,5.75
110635001,University of California-Berkeley,Main Campus,CA,35767,0.1,0,11.9,0.3,16.9,10,61.1,13.4,6.2,119.9
139959001,University of Georgia,Main Campus,GA,34430,0,0,5.2,0,2,2.5,48.6,9.5,2.7,70.5
104717001,Grand Canyon University,Grand Canyon University,AZ,34085,0,0,1.3,0,0.2,1.8,15.7,2.1,0.1,21.2
232186002,George Mason University,Arlington Campus,VA,33729,0,0,0,0,0,1,3,0,0,4
232186003,George Mason University,Science and Technology Campus,VA,33729,0,0,1,0,0,0,1,0,0,2
230038001,Brigham Young University,Brigham Young University (230038),UT,33485,0,0,5.7,0,0.1,1,15.6,1.8,0.8,25
105525010,Pima Community College,El Rio Adult Education Center,AZ,33469,0,0,0,0,0,0,0.833333333,0.166666667,0,1
105525015,Pima Community College,Aviation Technology Center,AZ,33469,0,0,0,0,0,0,0.166666667,0,0,0.166666667
105525016,Pima Community College,Public Safety and Emergency Services Institute,AZ,33469,0,0,0,0,0,0,0,0.333333333,0,0.333333333
105525001,Pima Community College,West Campus,AZ,33389,0,0,0.1,0,0.2,0.2,0.9,4.5,0,5.9
105525005,Pima Community College,East Campus,AZ,33389,0,0,0.1,0,0,0,0.7,1,0,1.8
199193001,North Carolina State University at Raleigh,Main Campus,NC,33358,0,0,5.1,0,5,7.2,49.3,9.4,0.5,76.5
122409001,San Diego State University,Main Campus,CA,33074,0,0,8.1,0.1,5.3,7.1,47.6,56.4,0.9,125.5
