state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,57040054,16,1,3389,46,1435,2379,19914,3525,637,31342
AL,608345,3,0,34,1,34,41,463,53,9,638
VA,2156909,1,0,143,0,32,60,490,60,18,804
FL,5885316,0,1,55,4,70,109,625,264,9,1137
GA,1614013,0,0,70,1,48,49,559,119,8,854
CO,734258,0,0,50,0,38,28,376,61,13,566
AK,221249,0,0,22,2,5,8,8,2,0,47
WA,974513,0,0,56,2,17,34,306,150,9,574
CA,5813485,3,0,266,10,195,269,2006,848,68,3665
AZ,1816842,1,0,44,1,33,65,257,86,14,501
WI,1030454,0,0,87,0,9,22,260,24,9,411
NM,477973,0,0,22,0,11,54,238,88,2,415
AR,374784,0,0,24,0,8,21,264,42,1,360
OK,546323,0,0,39,1,18,39,307,24,5,433
TN,1102255,0,0,45,0,31,52,412,50,5,595
DC,374484,0,0,47,0,13,19,186,13,8,286
TX,6401718,0,0,101,4,94,127,1191,303,20,1840
MN,723589,0,0,73,3,16,20,253,27,10,402
CT,326362,0,0,70,0,26,43,263,35,9,446
MA,790793,0,0,183,3,34,134,668,37,42,1101
NY,2612844,1,0,288,3,95,151,1249,97,71,1955
DE,199999,1,0,5,1,8,10,57,2,1,85
NJ,791381,1,0,77,0,32,56,387,40,14,607
MD,1013130,1,0,54,0,42,31,278,64,4,474
SC,852228,1,0,54,0,25,40,732,72,4,928
HI,207713,0,0,18,0,3,22,92,24,0,159
ID,276252,0,0,14,0,2,5,52,8,3,84
IL,2519996,2,0,95,1,77,120,704,45,18,1062
IN,1266309,0,0,72,0,29,54,539,62,9,765
IA,892663,0,0,71,1,7,35,275,22,18,429
MI,2294410,0,0,131,2,22,66,551,98,25,895
KY,1142137,1,0,42,0,17,35,314,21,15,445
OH,1810187,0,0,160,1,53,57,877,81,50,1279
MO,1289257,0,0,68,0,17,51,381,80,9,606
KS,513882,0,0,27,0,13,33,287,40,1,401
LA,712825,0,0,13,0,43,48,361,50,4,519
WV,159486,0,0,41,1,8,22,184,8,3,267
NC,1415387,0,0,111,2,64,74,991,95,9,1346
MS,423977,0,0,13,0,39,37,387,25,9,510
ME,186393,0,0,41,0,0,2,122,4,11,180
NH,164645,0,0,55,0,1,17,73,14,22,182
VT,55211,0,0,34,0,2,7,111,1,4,159
UT,529826,0,0,22,0,5,4,165,15,4,215
WY,82037,0,0,6,0,1,5,32,2,0,46
ND,101565,0,0,18,0,1,11,40,14,1,85
MT,137079,0,0,24,0,4,14,31,6,3,82
NE,340460,0,0,11,0,6,8,94,31,2,152
NV,368743,0,0,3,0,9,2,57,63,4,138
SD,72859,0,0,8,0,5,2,79,8,6,108
OR,791548,0,0,85,1,10,21,281,98,20,516
PA,1642492,0,0,245,0,59,131,883,31,31,1380
RI,199468,0,0,52,1,4,14,116,18,3,208
