state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,491560654,186,13,33711,448,16668,25898,237939,41464,7449,363776
AL,5138209,8,1,306,8,389,418,4721,453,88,6392
VA,20812986,40,2,1185,6,343,637,6147,602,268,9230
FL,48397047,6,1,732,14,799,1056,8730,2692,169,14199
GA,13947937,8,0,661,9,683,548,5826,1379,118,9232
CO,5651838,0,0,515,7,688,324,3715,740,230,6219
AK,2002991,0,0,84,2,15,62,183,44,6,396
AZ,11006828,3,0,430,4,210,425,3745,1595,121,6533
NM,32337837,14,0,1866,40,1090,1512,10834,4569,361,20286
NV,11652862,1,0,240,5,126,334,2056,811,58,3631
AR,4775466,3,1,264,6,90,221,2327,416,32,3360
CA,18619300,3,0,1370,49,1085,1421,14488,5559,376,24351
DC,4803159,2,0,259,10,161,330,3005,460,44,4271
HI,8430731,2,0,394,6,293,537,4154,1281,110,6777
WA,6074837,4,0,386,1,199,316,3505,970,79,5460
CT,15852020,2,0,917,11,496,654,6762,1005,138,9985
MA,16442623,0,0,1638,11,534,1067,11164,813,240,15467
NY,9867928,6,0,1318,15,571,866,10323,650,356,14105
DE,4778537,5,0,709,5,187,404,3441,316,163,5230
MD,16364476,3,0,1116,18,550,876,7181,867,255,10866
NC,20025863,3,0,1042,16,610,914,7218,1159,207,11169
TN,6468278,3,2,607,10,336,529,4797,689,149,7122
PA,8127381,5,0,1217,4,504,802,7390,611,214,10747
SC,8645757,6,1,1081,11,358,672,5536,587,168,8420
ID,5391169,2,0,397,5,177,363,3219,235,79,4477
IL,13739116,0,1,699,2,721,804,6352,540,135,9254
WI,10776589,1,0,674,8,170,308,3139,305,96,4701
IN,16673106,7,0,897,6,445,682,6234,562,98,8931
KY,10242394,3,0,630,6,328,785,4217,480,177,6626
OH,8156297,5,0,865,6,431,524,7255,853,277,10216
MI,13648856,3,0,861,18,469,696,6556,1099,229,9931
IA,7552424,1,0,566,6,178,417,3539,403,165,5275
MO,8798942,1,0,696,12,214,550,4147,702,172,6494
KS,12148745,5,2,901,18,340,589,5376,911,179,8321
OK,6732798,9,0,405,3,255,405,3666,566,129,5438
LA,8744018,4,0,805,1,351,607,5239,609,220,7836
TX,15727295,6,0,808,21,422,988,8265,1750,164,12424
ME,8531282,2,0,445,12,227,360,4368,673,177,6264
NH,3775967,1,0,320,5,209,328,2713,186,113,3875
VT,1595319,0,0,325,1,103,134,1774,114,91,2542
MN,4338784,1,0,365,14,230,243,3964,388,119,5324
MS,6054401,4,0,623,2,263,402,4072,445,115,5926
UT,3242649,0,1,292,6,42,100,1521,154,94,2210
WY,1464672,0,0,294,2,11,59,905,87,49,1407
ND,1262476,0,0,223,8,22,84,848,90,38,1313
MT,874776,1,1,134,1,26,77,512,54,68,874
WV,1575264,2,0,146,1,64,118,1165,117,43,1656
NE,2079389,0,0,133,2,60,176,967,235,53,1626
NJ,3558847,1,0,324,2,122,275,2421,420,71,3636
SD,2034220,0,0,215,4,33,73,998,231,81,1635
OR,10832571,0,0,1772,6,360,706,5676,739,221,9480
RI,1783397,0,0,559,2,78,120,1583,248,46,2636
